DATE,TIME,LATITUDE,LONGITUDE,VISIBILITY,LIGHT,RDSFCOND,INJURY,FATAL_NO,TEMP_MAX,TEMP_MIN,PRECIPITATION,TEMP_AVG,Temp_Category,RAINY_DAY
2006-01-01,02:36,43.699595,-79.318797,Clear,Dark,Wet,Major,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,02:36,43.699595,-79.318797,Clear,Dark,Wet,Minor,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,02:36,43.699595,-79.318797,Clear,Dark,Wet,Minor,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,02:36,43.699595,-79.318797,Clear,Dark,Wet,Minor,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,02:36,43.699595,-79.318797,Clear,Dark,Wet,Minor,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,02:36,43.699595,-79.318797,Clear,Dark,Wet,Minor,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,02:36,43.699595,-79.318797,Clear,Dark,Wet,Unknown,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,02:36,43.699595,-79.318797,Clear,Dark,Wet,None,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,03:15,43.684874,-79.316188,Snow,"Dark, artificial",Slush,Minor,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,03:15,43.684874,-79.316188,Snow,"Dark, artificial",Slush,Major,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,03:15,43.684874,-79.316188,Snow,"Dark, artificial",Slush,Minor,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,03:15,43.684874,-79.316188,Snow,"Dark, artificial",Slush,None,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-01,03:15,43.684874,-79.316188,Snow,"Dark, artificial",Slush,Unknown,0,2.4,-4.6,0,-1.0999999999999999,Low Temp,Dry
2006-01-02,07:05,43.652892,-79.406253,Other,"Dark, artificial",Wet,None,0,1.8,-0,3.6,0.9,Low Temp,Rainy
2006-01-02,07:05,43.652892,-79.406253,Other,"Dark, artificial",Wet,Major,0,1.8,-0,3.6,0.9,Low Temp,Rainy
2006-01-04,19:40,43.655145,-79.43359,Rain,Dark,Wet,None,0,3.6,1.7,3.5,2.65,Low Temp,Rainy
2006-01-04,19:40,43.655145,-79.43359,Rain,Dark,Wet,Major,0,3.6,1.7,3.5,2.65,Low Temp,Rainy
2006-01-06,22:10,43.777056,-79.347858,Clear,"Dark, artificial",Dry,None,0,-0.2,-7.2,0,-3.7,Low Temp,Dry
2006-01-06,22:10,43.777056,-79.347858,Clear,"Dark, artificial",Dry,Major,0,-0.2,-7.2,0,-3.7,Low Temp,Dry
2006-01-07,23:25,43.842745,-79.22479,Clear,Dark,Wet,Fatal,0,0.2,-5.5,0.7000000000000001,-2.65,Low Temp,Rainy
2006-01-07,23:25,43.842745,-79.22479,Clear,Dark,Wet,Unknown,0,0.2,-5.5,0.7000000000000001,-2.65,Low Temp,Rainy
2006-01-07,23:25,43.842745,-79.22479,Clear,Dark,Wet,Major,0,0.2,-5.5,0.7000000000000001,-2.65,Low Temp,Rainy
2006-01-08,15:07,43.651496,-79.362697,Clear,Daylight,Dry,Minimal,0,0.8,-2.2,0,-0.7000000000000001,Low Temp,Dry
2006-01-08,15:07,43.651496,-79.362697,Clear,Daylight,Dry,Major,0,0.8,-2.2,0,-0.7000000000000001,Low Temp,Dry
2006-01-08,15:07,43.651496,-79.362697,Clear,Daylight,Dry,Unknown,0,0.8,-2.2,0,-0.7000000000000001,Low Temp,Dry
2006-01-08,15:07,43.651496,-79.362697,Clear,Daylight,Dry,Unknown,0,0.8,-2.2,0,-0.7000000000000001,Low Temp,Dry
2006-01-08,18:28,43.721445,-79.558090000000007,Clear,Dark,Dry,None,0,0.8,-2.2,0,-0.7000000000000001,Low Temp,Dry
